ID,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,b_rotR,chiral,FCharge
DBB8082,O=C(OCC1C(O)C(O)C(O)C(OC2C3C(C)(C)C(O)CCC3(C)C3C(C)(C4(C)C(C(O)C3)C(C(OC3C(O)C(O)C(O)C(CO)O3)(CCC=C(C)C)C)CC4)C2)O1)C=CC,15,9,2.2467999,245.28999,869.099,0.89130437,61,6,15,12,4,2,0,0,0,0,0,0,0,0,0,0,0,15,0.1969697,21,0
DBB8083,O=C(O)C(NC(=O)C1N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(N)CCCN=C(N)N)C(C)C)Cc2ccc(O)cc2)C(CC)C)Cc2nc[nH]c2)CCC1)Cc1ccccc1,11,11,-0.27419999,342.44,931.10901,0.5,67,4,21,25,0,1,2,1,3,0,17,0,0,0,0,0,12,9,0.44285715,8,0
DBB8084,O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCCN,16,13,-4.3291001,425.54999,1056.239,0.5,73,4,27,19,0,2,2,0,2,0,12,0,0,0,0,0,13,12,0.28947368,8,0
DBB8085,O=C(NC(C(O)C=CCCCCCCCCCCCCC)COC1C(O)C(O)C(OC2C(O)C(O)C(O)C(CO)O2)C(CO)O1)CCCCCCCCCCCCCCC,13,9,5.2114,227.86,862.19598,0.93478262,60,2,14,36,0,2,0,0,0,0,0,0,0,0,0,0,1,13,0.60655737,12,0
DBB8086,O=C(NC(C(O)C=CCCCCCCCCCCCCC)COC1C(O)C(O)C(O)C(CO)O1)CCCCCCCCCCCCCCCCCCCCC,8,6,9.7278004,148.71001,784.21698,0.93478262,55,1,9,39,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0.72727275,7,0
DBB8087,O=C(C(OC1C(O)C(OC2C(NC(=O)C)C(OC3C(OC4C(O)C(O)C(O)C(C)O4)C(OC4C(NC(=O)C)C(O)C(O)C(CO)O4)C(O)C(CO)O3)C(OC3C(O)C(O)C(O)C(C)O3)C(CO)O2)C(O)C(CO)O1)C(O)CO)C(O)CO,34,21,-14.0892,570.40002,1203.11,0.93478262,82,6,36,23,0,6,0,0,0,0,0,0,0,0,0,0,2,34,0.28735632,33,0
DBB8088,O=C(C(OC1C(O)C(OC2C(NC(=O)C)C(OC3C(O)C(O)C(O)C(CO)O3)C(O)C(CO)O2)C(O)C(OOC2C(NC(=O)C)C(OC3C(O)C(O)C(O)C(C)O3)C(OC3C(O)C(O)C(O)C(CO)O3)C(CO)C2)O1)C(O)CO)C(O)CO,35,22,-14.5641,590.63,1219.109,0.93478262,83,6,37,24,1,5,0,0,0,0,0,0,0,0,0,0,2,35,0.29545453,33,0
DBB8089,O=C(C(OC1C(O)C(OC2C(NC(=O)C)CC(OC3C(O)C(O)C(O)C(CO)O3)(OC3C(O)C(O)C(O)C(C)O3)C(CO)O2)C(O)C(COC2C(NC(=O)C)C(O)C(OC3C(O)C(O)C(O)C(CO)O3)C(CO)O2)O1)C(O)CO)C(O)CO,35,22,-14.7676,590.63,1219.109,0.93478262,83,6,37,24,0,6,0,0,0,0,0,0,0,0,0,0,2,35,0.29545453,32,0
DBB8090,O=C(OC1CC=2C(C)(C3C(C4C(C)(C(C(CCCC(C)C)C)CC4)CC3)CC=2)CC1)CCCCCCCCCCCCCCCCCC,2,0,14.5912,26.299999,667.15997,0.93478262,48,4,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.47058824,8,0
DBB8092,[P+](=O)(O[P+](=O)(OCC1C(O)C(O)C(N2C(=O)NC(=N)C=C2)O1)[O-])(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-],17,4,10.06447,259.89999,982.14001,0.86956519,66,2,20,42,0,1,0,1,1,4,0,0,0,0,0,0,3,15,0.65671641,5,0
